year,city,country,avg_temp
1743,Ottawa,Canada,-2.46
1744,Ottawa,Canada,6.94
1745,Ottawa,Canada,-6.59
1746,Ottawa,Canada,
1747,Ottawa,Canada,
1748,Ottawa,Canada,
1749,Ottawa,Canada,
1750,Ottawa,Canada,4.47
1751,Ottawa,Canada,5.10
1752,Ottawa,Canada,-3.73
1753,Ottawa,Canada,3.90
1754,Ottawa,Canada,3.96
1755,Ottawa,Canada,0.65
1756,Ottawa,Canada,4.23
1757,Ottawa,Canada,3.18
1758,Ottawa,Canada,2.58
1759,Ottawa,Canada,3.39
1760,Ottawa,Canada,1.81
1761,Ottawa,Canada,4.43
1762,Ottawa,Canada,4.14
1763,Ottawa,Canada,1.28
1764,Ottawa,Canada,3.68
1765,Ottawa,Canada,3.13
1766,Ottawa,Canada,4.45
1767,Ottawa,Canada,2.71
1768,Ottawa,Canada,3.12
1769,Ottawa,Canada,3.56
1770,Ottawa,Canada,3.54
1771,Ottawa,Canada,4.26
1772,Ottawa,Canada,4.04
1773,Ottawa,Canada,4.43
1774,Ottawa,Canada,3.69
1775,Ottawa,Canada,4.75
1776,Ottawa,Canada,3.79
1777,Ottawa,Canada,3.30
1778,Ottawa,Canada,1.14
1779,Ottawa,Canada,4.30
1780,Ottawa,Canada,7.02
1781,Ottawa,Canada,4.12
1782,Ottawa,Canada,3.53
1783,Ottawa,Canada,3.23
1784,Ottawa,Canada,2.96
1785,Ottawa,Canada,2.94
1786,Ottawa,Canada,3.45
1787,Ottawa,Canada,3.46
1788,Ottawa,Canada,4.15
1789,Ottawa,Canada,3.83
1790,Ottawa,Canada,3.78
1791,Ottawa,Canada,3.78
1792,Ottawa,Canada,3.19
1793,Ottawa,Canada,4.25
1794,Ottawa,Canada,4.25
1795,Ottawa,Canada,3.68
1796,Ottawa,Canada,3.56
1797,Ottawa,Canada,3.31
1798,Ottawa,Canada,4.03
1799,Ottawa,Canada,3.59
1800,Ottawa,Canada,4.09
1801,Ottawa,Canada,4.49
1802,Ottawa,Canada,4.70
1803,Ottawa,Canada,4.35
1804,Ottawa,Canada,4.08
1805,Ottawa,Canada,4.69
1806,Ottawa,Canada,3.73
1807,Ottawa,Canada,3.55
1808,Ottawa,Canada,3.81
1809,Ottawa,Canada,3.05
1810,Ottawa,Canada,3.53
1811,Ottawa,Canada,3.70
1812,Ottawa,Canada,2.04
1813,Ottawa,Canada,3.35
